Operating System,CPU Manufacturer,CPU Model,Number Of Threads,Number of runs,Single-Thread Score,Multi-Thread Score,Date
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,12828,153939,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,12075,144903,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,12022,144271,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,12595,151144,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,20,824,9416,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,12968,150720,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,20,15628,172101,03/05/2024 
Windows 11,AMD,Ryzen 7 5800H with Radeon Graphics,16,20,8488,112658,03/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,11575,134062,11/05/2024
Windows 11,AMD,Ryzen 5 7600 6-Core Processor,12,1,13011,151632,11/05/2024
Windows 11,11th,Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,8,1,8948,67951,12/05/2024
Windows 11,AMD,Ryzen 7 5800H with Radeon Graphics,16,1,5993,93342,15/05/2024
Windows 11,11th,Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,8,5,9709,64801,19/05/2024
Windows 11,11th,Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,8,5,9611,68984,19/05/2024,LZW
